JDTDB,             Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,             X_s,             Y_s,             Z_s,            VX_s,            VY_s,            VZ_s,
2458849.500000000, A.D. 2020-Jan-01 00:00:00.0000,  3.901856393400028E+05, -7.652259535377791E+04, -7.072465410445340E+04,  2.487277177505814E-01,  8.724607189917472E-01,  3.400651264502000E-01,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2458849.541666667, A.D. 2020-Jan-01 01:00:00.0000,  3.910654776151997E+05, -7.337883938590928E+04, -6.949766122284028E+04,  2.400686227925968E-01,  8.740588306851933E-01,  3.415930278601850E-01,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2458849.583333333, A.D. 2020-Jan-01 02:00:00.0000,  3.919141143176903E+05, -7.022945491129285E+04, -6.826521716371247E+04,  2.313936057869760E-01,  8.755876604201117E-01,  3.430935460971112E-01,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2458849.625000000, A.D. 2020-Jan-01 03:00:00.0000,  3.927314931545681E+05, -6.707469141657461E+04, -6.702742063872624E+04,  2.227032368356132E-01,  8.770471688271708E-01,  3.445666078831323E-01,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2458849.666666667, A.D. 2020-Jan-01 04:00:00.0000,  3.935175598836180E+05, -6.391479852576811E+04, -6.578437062134955E+04,  2.139980851135874E-01,  8.784373189546165E-01,  3.460121410423130E-01,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2458849.708333333, A.D. 2020-Jan-01 05:00:00.0000,  3.942722623100223E+05, -6.075002599161285E+04, -6.453616634292523E+04,  2.052787188925422E-01,  8.797580762341713E-01,  3.474300744840957E-01,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2458849.750000000, A.D. 2020-Jan-01 06:00:00.0000,  3.949955502831506E+05, -5.758062368705375E+04, -6.328290728879273E+04,  1.965457055648678E-01,  8.810094084479321E-01,  3.488203381871041E-01,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2458849.791666667, A.D. 2020-Jan-01 07:00:00.0000,  3.956873756934403E+05, -5.440684159683773E+04, -6.202469319446777E+04,  1.877996116686647E-01,  8.821912856962760E-01,  3.501828631832921E-01,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2458849.833333333, A.D. 2020-Jan-01 08:00:00.0000,  3.963476924693663E+05, -5.122892980922423E+04, -6.076162404187836E+04,  1.790410029134665E-01,  8.833036803667905E-01,  3.515175815424437E-01,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2458849.875000000, A.D. 2020-Jan-01 09:00:00.0000,  3.969764565745063E+05, -4.804713850780566E+04, -5.949380005565598E+04,  1.702704442067011E-01,  8.843465671042270E-01,  3.528244263570295E-01,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2458849.916666667, A.D. 2020-Jan-01 10:00:00.0000,  3.975736260047015E+05, -4.486171796343401E+04, -5.822132169948053E+04,  1.614884996808666E-01,  8.853199227814955E-01,  3.541033317274264E-01,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2458849.958333333, A.D. 2020-Jan-01 11:00:00.0000,  3.981391607853170E+05, -4.167291852625028E+04, -5.694428967247806E+04,  1.526957327214008E-01,  8.862237264717064E-01,  3.553542327475059E-01,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2458850.000000000, A.D. 2020-Jan-01 12:00:00.0000,  3.986730229686031E+05, -3.848099061781240E+04, -5.566280490566950E+04,  1.438927059952233E-01,  8.870579594212653E-01,  3.565770654905979E-01,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2458850.041666667, A.D. 2020-Jan-01 13:00:00.0000,  3.991751766311620E+05, -3.528618472331821E+04, -5.437696855846928E+04,  1.350799814799261E-01,  8.878226050240347E-01,  3.577717669958331E-01,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2458850.083333333, A.D. 2020-Jan-01 14:00:00.0000,  3.996455878715185E+05, -3.208875138391959E+04, -5.308688201523251E+04,  1.262581204935925E-01,  8.885176487965657E-01,  3.589382752548738E-01,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2458850.125000000, A.D. 2020-Jan-01 15:00:00.0000,  4.000842248078014E+05, -2.888894118912362E+04, -5.179264688184913E+04,  1.174276837252215E-01,  8.891430783544106E-01,  3.600765291990340E-01,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2458850.166666667, A.D. 2020-Jan-01 16:00:00.0000,  4.004910575755335E+05, -2.568700476927730E+04, -5.049436498238375E+04,  1.085892312657361E-01,  8.896988833895224E-01,  3.611864686867970E-01,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2458850.208333333, A.D. 2020-Jan-01 17:00:00.0000,  4.008660583255360E+05, -2.248319278813150E+04, -4.919213835575972E+04,  9.974332263955231E-02,  8.901850556487488E-01,  3.622680344917353E-01,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2458850.250000000, A.D. 2020-Jan-01 18:00:00.0000,  4.012092012219463E+05, -1.927775593548036E+04, -4.788606925248594E+04,  9.089051683668839E-02,  8.906015889134306E-01,  3.633211682908371E-01,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2458850.291666667, A.D. 2020-Jan-01 19:00:00.0000,  4.015204624403527E+05, -1.607094491987228E+04, -4.657626013142498E+04,  8.203137234539104E-02,  8.909484789801038E-01,  3.643458126532463E-01,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2458850.333333333, A.D. 2020-Jan-01 20:00:00.0000,  4.017998201660480E+05, -1.286301046138815E+04, -4.526281365660088E+04,  7.316644718525681E-02,  8.912257236423238E-01,  3.653419110294178E-01,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2458850.375000000, A.D. 2020-Jan-01 21:00:00.0000,  4.020472545924016E+05, -9.654203284483227E+03, -4.394583269404547E+04,  6.429629894082670E-02,  8.914333226736062E-01,  3.663094077406966E-01,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2458850.416666667, A.D. 2020-Jan-01 22:00:00.0000,  4.022627479193556E+05, -6.444774110888222E+03, -4.262542030868110E+04,  5.542148479563119E-02,  8.915712778114980E-01,  3.672482479693238E-01,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2458850.458333333, A.D. 2020-Jan-01 23:00:00.0000,  4.024462843520428E+05, -3.234973652565786E+03, -4.130167976123891E+04,  4.654256156666432E-02,  8.916395927427843E-01,  3.681583777488729E-01,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2458850.500000000, A.D. 2020-Jan-02 00:00:00.0000,  4.025978500995293E+05, -2.505260471817844E+01, -3.997471450521052E+04,  3.766008573926377E-02,  8.916382730898319E-01,  3.690397439551243E-01,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,